Unnamed: 0,Unnamed: 1,Unnamed: 2,Date,Time,Lane,Speed,Length,Headway,Gap,Class,Occupancy,Vehicle Count,Headway_Mean,Headway_Mean_Hours,Q (veh/h),Speed Inverse,,,,,
,,,20240728,912.7,3,75,3.84,10.1,9.92,2,184,28,22.23214286,0.006175595,161.9277108,0.013333333,,,,,
,,,20240728,917.8,2,78,3.77,8.6,8.41,2,174,28,22.23214286,0.006175595,161.9277108,0.012820513,,,,,
,,,20240728,925.5,3,81,5.09,12.8,12.62,2,226,28,22.23214286,0.006175595,161.9277108,0.012345679,,,,,
,,,20240728,931.1,3,88,4.58,5.6,5.37,2,187,28,22.23214286,0.006175595,161.9277108,0.011363636,,,,,
,,,20240728,956.8,2,123,4.44,39,38.83,1,129,28,22.23214286,0.006175595,161.9277108,0.008130081,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,20240728,1009,2,85,2.6,12.2,12.07,1,110,22,24.25454545,0.006737374,148.4257871,0.011764706,,,0.249419144,,
,,,20240728,1033.7,2,76,4.01,24.7,24.59,2,189,22,24.25454545,0.006737374,148.4257871,0.013157895,,,,,
,,,20240728,1056.2,3,64,3.84,85.1,84.91,2,216,22,24.25454545,0.006737374,148.4257871,0.015625,,,,,
,,,20240728,1115,2,78,2.16,41.3,41.11,1,99,22,24.25454545,0.006737374,148.4257871,0.012820513,,,,,
,,,20240728,1132.5,3,99,1.65,36.3,36.08,1,60,22,24.25454545,0.006737374,148.4257871,0.01010101,,,,,
,,,20240728,1147.3,3,95,5.07,14.8,14.74,2,192,22,24.25454545,0.006737374,148.4257871,0.010526316,,,,,
,,,20240728,1159.4,2,100,5.25,44.4,44.3,2,189,22,24.25454545,0.006737374,148.4257871,0.01,,,,,
,,,20240728,1200.8,2,98,4.62,1.4,1.21,2,169,22,24.25454545,0.006737374,148.4257871,0.010204082,,,,,
,,,20240728,1229.1,3,70,4.04,41.8,41.61,1,207,22,24.25454545,0.006737374,148.4257871,0.014285714,,,,,
,,,20240728,1230.5,2,83,3.93,29.7,29.53,2,170,22,24.25454545,0.006737374,148.4257871,0.012048193,,,,,
,,,20240728,1242.8,3,104,4.79,13.7,13.49,2,165,22,24.25454545,0.006737374,148.4257871,0.009615385,,,,,
,,,20240728,1255.4,3,90,3.84,12.6,12.43,2,153,22,24.25454545,0.006737374,148.4257871,0.011111111,,,,,
,,,20240728,1315,2,100,4,44.5,44.33,2,144,22,24.25454545,0.006737374,148.4257871,0.01,,,,,
,,,20240728,1325.6,3,93,3.98,30.2,30.05,2,154,22,24.25454545,0.006737374,148.4257871,0.010752688,,,,,
,,,20240728,1328.3,2,105,4.74,13.3,13.16,2,162,22,24.25454545,0.006737374,148.4257871,0.00952381,,,,,
,,,20240728,1338.6,3,74,4.97,13,12.85,2,241,22,24.25454545,0.006737374,148.4257871,0.013513514,,,,,
,,,20240728,1343.2,2,92,4.07,14.9,14.74,2,159,22,24.25454545,0.006737374,148.4257871,0.010869565,,,,,
,,,20240728,1350.6,2,114,2.21,7.4,7.24,1,69,22,24.25454545,0.006737374,148.4257871,0.00877193,,,,,
,,,20240728,1415.2,3,70,3.77,36.6,36.36,2,193,22,24.25454545,0.006737374,148.4257871,0.014285714,,,,,
,,,20240728,1417.7,3,78,5.79,2.5,2.31,4,267,22,24.25454545,0.006737374,148.4257871,0.012820513,,,,,
,,,20240728,1426.9,3,114,6.04,9.2,8.93,2,190,22,24.25454545,0.006737374,148.4257871,0.00877193,,,,,
,,,20240728,1430.9,3,113,4.4,4,3.81,2,140,22,24.25454545,0.006737374,148.4257871,0.008849558,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,20240728,1505.1,3,55,4.44,34.2,34.06,2,290,23,28.21304348,0.007836957,127.6005548,0.018181818,,,,,
,,,20240728,1522.5,3,70,5.82,17.4,17.11,4,299,23,28.21304348,0.007836957,127.6005548,0.014285714,,,,,
,,,20240728,1530,2,79,4.01,99.4,99.33,2,182,23,28.21304348,0.007836957,127.6005548,0.012658228,,,,,
,,,20240728,1533.9,3,99,5.15,11.4,11.1,2,187,23,28.21304348,0.007836957,127.6005548,0.01010101,,,,,
,,,20240728,1534.4,2,64,4.04,4.4,4.22,2,227,23,28.21304348,0.007836957,127.6005548,0.015625,,,,,
,,,20240728,1537.1,2,79,4.05,2.7,2.47,2,184,23,28.21304348,0.007836957,127.6005548,0.012658228,,,,,
